Título,Fecha,Contenido,Etiquetas,Número de Comentarios,Enlace
La Unión Eléctrica pronostica una afectación de 1 699 MW para el horario pico nocturno,2025-04-26 11:59:00,"La Unión Eléctrica estima para el horario pico nocturno una disponibilidad de 1 771 MW y una demanda máxima de 3 400 MW, para un déficit de 1 629 MW, por lo que, de mantenerse las condiciones previstas, se pronostica una afectación de 1 699 MW en este horario. También en este momento del día se estima la entrada de la central de motores de fuel de Mariel, con 131 MW. A las 7:00 a.m., la disponibilidad del SEN era de 1 640 MW y la demanda 2 700 MW con 1 100 MW afectados por déficit de capacidad de generación. En el horario de la media se estima una afectación de 1 380 MW. Entre las principales incidencias, la entidad mencionó averías en las unidades 5 de la CTE Mariel, 2 de la CTE Felton y 3 de la CTE Antonio Maceo. Además, están en mantenimiento las unidades 2 de la CTE Santa Cruz, las 3 y 4 de la CTE Cienfuegos y la unidad 5 de la CTE Renté. Existen 355 MW fuera de servicio por limitaciones térmicas. Por otra parte, presentan problemas por falta de combustible 131 MW en la central fuel de Mariel y 105 centrales de generación distribuida, que dejan indisponibles 741 MW. En la jornada de ayer se afectó el servicio las 24 horas y se mantuvo afectado durante toda la madrugada de hoy. La máxima afectación en el día de ayer fue de 1 867 MW a las 20:10 horas, no coincidente con la hora de máxima demanda. La producción de energía de los 8 nuevos parques solares fotovoltaicos fue de 966 MWh.","Apagones, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Termoeléctrica, Unión Eléctrica (UNE)",6,http://www.cubadebate.cu/noticias/2025/04/26/la-union-electrica-pronostica-una-afectacion-de-1-800-mw-para-el-horario-pico-nocturno/
Unión Eléctrica pronostica déficit de 1800 MW para el pico nocturno de este viernes,2025-04-25 09:05:00,"Para el mediodía, se estima una afectación de 1250 MW. En el día de ayer se afectó el servicio las 24 horas y se mantuvo afectado durante toda la madrugada de hoy. La máxima afectación en el día de ayer fue de 1680 MW a las 19:20 horas , no coincidente con la hora de máxima demanda. La producción de energía de los 8 nuevos parques solares fotovoltaicos fue de 986 MWh. A las 7:00 a.m., la disponibilidad del SEN es de 1650 MW, mientras que la demanda alcanza los 2710 MW , lo que provoca una afectación de 1097 MW. Para el mediodía, se estima una afectación de 1250 MW. Principales incidencias Avería: Unidad 5 de la CTE Mariel y la Unidad 2 de la CTE Felton. Mantenimiento: Unidad 2 de la CTE Santa Cruz, Unidades 3 y 4 de la CTE Cienfuegos y Unidad 5 de la CTE Renté. Limitaciones térmicas: 399 MW fuera de servicio. Problemas por falta de combustible: 104 centrales de generación distribuida (725 MW). 50 MW en la central fuel de Mariel. Para el horario pico se estima una disponibilidad de 1650 MW y una demanda máxima de 3380 MW, para un déficit de 1730 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 1800 MW en este horario.","Apagón, Apagones, Economía, Electricidad, Empresa Eléctrica, Generación Eléctrica, Gobierno, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Sociedad, Termoeléctrica, Unión Eléctrica (UNE)",30,http://www.cubadebate.cu/noticias/2025/04/25/union-electrica-pronostica-deficit-de-1800-mw-para-el-pico-nocturno-de-este-viernes/
UNE: Afectaciones por déficit superarán los 1 700 MW este jueves en el horario pico nocturno,2025-04-24 07:59:00,"Central Termoeléctrica de Cienfuegos Carlos Manuel de Céspedes. Foto: Abel Padrón Padilla/ Cubadebate. La Unión Eléctrica informa en su parte diario que en el día de ayer se afectó el servicio las 24 horas y se mantuvo afectado durante toda la madrugada de hoy. “La máxima afectación en el día de ayer fue de 1901 MW a las 20:10 horas, coincidente con la hora de máxima demanda, afectación superior a lo planificado por limitaciones de combustible en la patana de Melones”. Apunta además que la producción de energía de los 8 nuevos parques solares fotovoltaicos fue de 1064 MWh. La disponibilidad del SEN a las 07:00 horas es de 1660 MW y la demanda 2780 MW con 1150 MW afectados por déficit de capacidad, en el horario de la media se estima una afectación de 1280 MW. Se encuentran en avería la unidad 5 de la CTE Mariel, la unidad 5 de la CTE Nuevitas y la unidad 2 de la CTE Felton. Se encuentran en mantenimiento la unidad 2 de la CTE Santa Cruz, las unidades 3 y 4 de la CTE Cienfuegos y la unidad 5 de la CTE Renté. Las limitaciones en la generación térmica son de 321 MW. Se encuentran fuera de servicio por combustible 103 centrales de generación distribuida con 700 MW afectados por esta causa. Se considera para el pico la entrada de la unidad 5 de la CTE Nuevitas con 60 MW. Con este pronóstico, se estima una disponibilidad de 1720 MW y una demanda máxima de 3380 MW, para un déficit de 1660 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 1730 MW en este horario. (Con información de la UNE-Minem)","Apagones, Combustibles, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Unión Eléctrica (UNE)",39,http://www.cubadebate.cu/noticias/2025/04/24/une-afectaciones-por-deficit-superaran-los-1-700-mw-este-jueves-en-el-horario-pico-nocturno/
"Desde Cuba: Termoeléctrica de Cienfuegos, ¿Cómo ha sido el proceso de recuperación?",2025-04-22 16:02:00,"Desde el pasado mes de octubre, la termoeléctrica Carlos Manuel de Céspedes de Cienfuegos detuvo su accionar. Desde ese momento, se labora en su mantenimiento para incorporarla al SEN. Cubadebate recorrió la instalación a pocos días de su sincronización. En youtube Vea además Central termoeléctrica de Cienfuegos: Una inyección de energía desde el centro de Cuba","Oscar Figueredo Reinaldo, Apagón, Cienfuegos, Cuba, Economía, Electricidad, Fotografía, Gobierno, Ministerio de Energía y Minas (MINEM), Reparación, Termoeléctrica, Unión Eléctrica (UNE)",7,http://www.cubadebate.cu/especiales/2025/04/22/desde-cuba-termoelectrica-de-cienfuegos-como-ha-sido-el-proceso-de-recuperacion/
