Título,Fecha,Contenido,Etiquetas,Número de Comentarios,Enlace
UNE prevé una jornada sin afectaciones por déficit de generación este sábado,2023-12-23 09:18:00,"Logo de la Unión Eléctrica. Este viernes no fue afectado el servicio por déficit de capacidad de generación. En su parte diario, la Unión Eléctrica informa que este sábado a las 07:00 horas la disponibilidad del sistema eléctrico nacional era de 2 516 MW y la demanda, de 1 550 MW, con todo el SEN con servicio. No se espera afectación en el horario del día, precisó la UNE. Están fuera de servicio por avería la unidad 5 y 6 de la CTE Nuevitas, la unidad 6 de la CTE Rente y la unidad 2 de la CTE Felton. En mantenimiento, la unidad 5 de la CTE Mariel. Se mantienen las limitaciones en la generación térmica (346 MW). En la generación distribuida, no están disponibles por avería 765 MW y en mantenimiento, 106 MW. Para el horario pico se prevé la entrada de 115 MW en motores de generación distribuida que están pasados de horas de mantenimiento y seis motores de la patana de Melones, con 90 MW. Además, el completamiento de Energas Varadero, con 40 MW. Con este pronóstico, se estima para la hora pico una disponibilidad de 2 761 MW y una demanda máxima de 2 550 MW, para una reserva de 211 MW, por lo que de mantenerse las condiciones previstas no se pronostican afectaciones al servicio en este horario.","Cuba, Economía, Electricidad, Energía, Gobierno, Ministerio de Energía y Minas (MINEM), Termoeléctrica, Unión Eléctrica (UNE)",4,http://www.cubadebate.cu/noticias/2023/12/23/une-preve-una-jornada-sin-afectaciones-por-deficit-de-generacion-este-sabado/
UNE pronostica afectación de 165 MW en el pico nocturno de este martes,2023-12-19 10:08:00,"Termoeléctrica Carlos Manuel de Céspedes de Cienfuegos. Foto: ACN. En el día de ayer se afectó el servicio en el horario pico por déficit de capacidad de generación desde las 17:58 hasta las 18:23 horas (25 minutos). La máxima afectación en fue de 73 MW, a las 18:10 horas coincidiendo con la hora pico. La disponibilidad del Sistema Eléctrico Nacional a las 07:00 horas es de 2305 MW y la demanda 1700 MW con todo el SEN con servicio, no se estima afectación en el horario del día. Se encuentran fuera de servicio por avería la unidad 3 de la CTE Santa Cruz, la unidad 6 de la CTE Rente y la unidad 2 de la CTE Felton. Se encuentra en mantenimiento la unidad 5 de la CTE Mariel y la CTE Guiteras. Se mantienen las limitaciones en la generación térmica (343 MW). En la generación distribuida, están indisponibles por avería 813 MW y en mantenimiento 108 MW. Para el horario pico se estima la entrada de 112 MW en motores de Generación Distribuida que están pasados de horas de mantenimiento y la entrada de 6 motores de la Patana de Melones con 108 MW. Con este pronóstico, se estima para la hora pico una disponibilidad de 2525 MW y una demanda máxima de 2620 MW, para un déficit de 95 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 165 MW en este horario. (Con información de la Unión Eléctrica) Compartir en Facebook Compartir en Twitter Compartir en WhatsApp Compartir en Telegram Noticias Economía Constata miembro del Buró Político del Partido Comunista de Vietnam proyecto cubano-vietnamita 15 mayo 2025 | + | Universidad de La Habana acogerá Segunda edición de la Convención Científica Internacional Saber UH 2025 15 mayo 2025 | + | Hoy en la Mesa Redonda, Desde la Presidencia: ¿Qué hizo Díaz-Canel en Rusia? (+Video) 15 mayo 2025 | 1 | Condenan a diez años de prisión a diputada adepta de Bolsonaro 15 mayo 2025 | + | La Unión Eléctrica pronostica una afectación de 1 460 MW para el horario pico nocturno 15 mayo 2025 | 8 | ir aNoticias » Constata miembro del Buró Político del Partido Comunista de Vietnam proyecto cubano-vietnamita 15 mayo 2025 | + | La Unión Eléctrica pronostica una afectación de 1 460 MW para el horario pico nocturno 15 mayo 2025 | 8 | Congreso de la ANAP: Con la mirada puesta en aumentar la producción alimentaria 15 mayo 2025 | 33 Sancti Spíritus y Villa Clara reanudan venta de gas licuado 14 mayo 2025 | 26 | Establecen nuevos precios mayoristas máximos centralizados del cemento de producción nacional 13 mayo 2025 | 71 | ir aEconomía »","Apagón, Apagones, Cuba, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Unión Eléctrica (UNE)",2,http://www.cubadebate.cu/noticias/2023/12/19/une-pronostica-afectacion-de-165-mw-en-el-pico-nocturno-de-este-martes/
La UNE pronostica afectación de 173 MW durante el pico nocturno de este viernes,2023-12-15 12:27:00,"Termoeléctrica Felton. Foto: Archivo. La Unión Eléctrica estima para la hora pico nocturna de este viernes una disponibilidad de 2 597 MW y una demanda máxima de 2 700 MW, para un déficit de 103 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 173 MW en este horario. La disponibilidad a las 7 a.m. es de 2 250 MW y la demanda, 1 850 MW, con todo el SEN en servicio. Durante el horario diurno no se estiman afectaciones al servicio por déficit de capacidades de generación. En el día de ayer se afectó el servicio en el horario pico por déficit de capacidad de generación desde las 4:52 p.m. hasta las 6:53 p.m. La máxima afectación fue de 288 MW, a las 6 p.m., coincidiendo con la hora pico. Se encuentran fuera de servicio por avería la unidad 1 de la termoeléctrica Santa Cruz, la 5 de la Nuevitas y las 1 y 2 de la Felton. Están en mantenimiento la 5 de la Mariel y la 3 de la Santa Cruz. Las limitaciones en la generación térmica son de 291 MW. En la generación distribuida, no están disponibles 810 MWpor avería y 117 MW por mantenimiento. Para el pico se estima la entrada de motores de generación distribuida que están a la espera de mantenimiento y se autoriza su uso con 112 MW, la entrada de la unidad 5 de la termoeléctrica Nuevitas, con 75 MW, la entrada de seis motores en la Patana de Melones, con 100 MW, y la entrada de la unidad 3 de la Santa Cruz, con 60 MW.","Apagón, Apagones, Cuba, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Unión Eléctrica (UNE)",1,http://www.cubadebate.cu/noticias/2023/12/15/la-une-pronostica-afectacion-de-173-mw-durante-el-pico-nocturno-de-este-viernes/
UNE pronostica una afectación de 270 MW para el horario pico,2023-12-13 12:11:00,"La disponibilidad del SEN a las 07:00 horas es de 2270 MW y la demanda 2000 MW, con todo el SEN con servicio. Existe riesgo de que se produzcan afectación al servicio durante el horario diurno por transferencia hacia la zona centro oriental. Se encuentran fuera de servicio por avería la unidad 1 de la CTE Santa Cruz, la unidad 5 de la CTE Nuevitas, la unidad 3 de la CTE Rente y las unidades 1 y 2 de la CTE Felton. Se encuentra en mantenimiento la unidad 5 de la CTE Mariel. Las limitaciones en la generación térmica, 305 MW. En la generación distribuida, están indisponibles por avería 813 MW y en mantenimiento 129 MW. Para el pico se estima la entrada de motores de Generación Distribuida que están a la espera de mantenimiento y se autoriza su uso con 95 MW, la entrada de la unidad 3 de la CTE Rente con 85 MW (en proceso de arranque) y la entrada de 5 motores en la Patana de Melones con 85MW. Con este pronóstico, se estima para la hora pico una disponibilidad de 2520 MW y una demanda máxima de 2720 MW, para un déficit de 200 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 270 MW en este horario. En el día de ayer se afectó el servicio en el horario pico por altas trasferencia hacia la zona centro oriental desde las 16:30 horas hasta las 19:47 horas (03:17 horas). La máxima afectación en fue de 314 MW, a las 18:00 horas coincidiendo con la hora pico. (Con información de UNE-MINEM)","Apagón, Apagones, Cuba, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Unión Eléctrica (UNE)",5,http://www.cubadebate.cu/noticias/2023/12/13/une-pronostica-una-afectacion-de-270-mw-para-el-horario-pico/
UNE: Prevén afectación de 300 MW durante el horario pico nocturno de este lunes,2023-12-11 09:31:00,"Termoeléctrica Felton. Foto: Archivo. En el día de ayer, domingo 10 de diciembre, no se afectó el servicio por déficit de capacidad de generación. La disponibilidad del SEN a las 07:00 horas de este lunes fue de 2220 MW y la demanda 2000 MW, con todo el SEN con servicio. No se estima afectación durante el horario diurno. Se encuentran fuera de servicio por avería la unidad 1 de la CTE Santa Cruz, la unidad 3 de la CTE Renté y las unidades 1 y 2 de la CTE Felton. Se encuentran en mantenimiento la unidad 5 de la CTE Mariel y la unidad 3 de la CTE Cienfuegos. Las limitaciones en la generación térmica es de 338 MW. En la generación distribuida, están indisponibles por avería 814 MW y en mantenimiento 124 MW. Para el pico se estima la entrada de motores de Generación Distribuida que están a la espera de mantenimiento y se autoriza su uso con 125 MW, la entrada de 4 motores en la Patana de Melones con 70 MW, la entrada de la unidad 3 de la CTE Rente 75 MW, la entrada de la unidad 4 de Energas Boca de Jaruco (30 MW) y el completamiento del ciclo combinado de esta misma central (30 MW). Con este pronóstico, se estima para la hora pico una disponibilidad de 2550 MW y una demanda máxima de 2780 MW, para un déficit de 230 MW , por lo que de mantenerse las condiciones previstas se pronostica una afectación de 300 MW en este horario. (Unión Eléctrica de Cuba)","Cuba, Economía, Electricidad, Energía, Gobierno, Ministerio de Energía y Minas (MINEM), Termoeléctrica, Unión Eléctrica (UNE)",16,http://www.cubadebate.cu/noticias/2023/12/11/une-preven-afectacion-de-300-mw-durante-el-horario-pico-nocturno-de-este-lunes/
La Unión Eléctrica estima una afectación de 315 MW para el horario pico nocturno,2023-12-07 09:35:00,"La Unión Eléctrica estima para la hora pico nocturna de este jueves una disponibilidad de 2 535 MW y una demanda máxima de 2 780 MW, para un déficit de 245 MW. De mantenerse las condiciones previstas, se pronostica una afectación de 315 MW en este horario. La disponibilidad del SEN a las 07:00 horas era de 2 330 MW y la demanda de 1 800 MW, con todo el SEN con servicio. No se estima afectación por déficit de capacidad de generación durante el horario diurno . En la jornada de ayer se afectó el servicio por déficit de capacidad de generación desde las 16:21 hasta las 19:22 horas. La máxima afectación fue de 534 MW, a las 18:20, coincidiendo con el horario pico. Están fuera de servicio por avería la unidad 6 de la CTE Mariel, la unidad 1 de la CTE Santa Cruz y la unidad 2 de la CTE Felton. Se encuentran en mantenimiento la unidad 5 de la CTE Mariel, las 3 unidades de Energas Varadero y la unidad 1 de la CTE Felton. Persisten las limitaciones en la generación térmica (346 MW). Mientras, en la generación distribuida, están indisponibles por avería 813 MW y en mantenimiento 125 MW. Para el pico se estima la entrada de 6 motores en la Patana de Melones, con 90 MW, y la entrada de motores de Generación Distribuida que están a la espera de mantenimiento y se autoriza su uso con 115 MW.","Apagones, Cuba, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Termoeléctrica, Unión Eléctrica (UNE)",3,http://www.cubadebate.cu/noticias/2023/12/07/la-union-electrica-estima-una-afectacion-de-315-mw-para-el-horario-pico-nocturno/
Unión Eléctrica estima afectación de 395 MW en el pico nocturno de este miércoles,2023-12-06 09:55:00,"La Unión Eléctrica informó que para la hora pico de este miércoles 6 de diciembre se estima una disponibilidad de 2495 MW y una demanda máxima de 2820 MW, para un déficit de 325 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 395 MW en este horario. La disponibilidad del SEN a las 07:00 horas es de 2280 MW y la demanda 2000 MW, con todo el SEN con servicio. No se estima afectación por déficit de capacidad de generación durante el horario diurno. Se encuentran fuera de servicio por avería la unidad 6 de la CTE Mariel, la unidad 1 de la CTE Santa Cruz, la unidad 3 de la CTE Renté y la unidad 2 de la CTE Felton. Se encuentran en mantenimiento la unidad 5 de la CTE Mariel, las 3 unidades de Energas Varadero y la unidad 1 de la CTE Felton. Se mantienen las limitaciones en la generación térmica (345 MW). En la generación distribuida, están indisponibles por avería 812 MW y en mantenimiento 125 MW. Para el pico se estima la recuperación de 50 MW en centrales de generación distribuida que están fuera por combustible, la entrada de tres motores en la Patana de Melones con 50 MW y la entrada de motores de Generación Distribuida que están a la espera de mantenimiento y se autoriza su uso con 115 MW. En el día de ayer se afectó el servicio por déficit de capacidad de generación desde las 16:29 hasta las 19:35 horas (tiempo de afectación 03:06 horas). La máxima afectación fue de 354 MW, a las 18:20 horas coincidiendo con la hora pico. (Con información de la UNE)","Apagón, Cuba, Economía, Electricidad, Energía, Gobierno, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Termoeléctrica, Unión Eléctrica (UNE)",14,http://www.cubadebate.cu/noticias/2023/12/06/union-electrica-estima-afectacion-de-395-mw-en-el-pico-nocturno-de-este-miercoles/
Unión Eléctrica estima afectación de 327 MW en el pico nocturno de este martes,2023-12-05 08:35:00,"Termoeléctrica Guiteras. Foto: Archivo/ACN La Unión Eléctrica informa que en el día de ayer se afectó el servicio por déficit de capacidad de generación desde las 17:28 hasta las 18:48 horas (tiempo de afectación 01:20 horas). La máxima afectación fue de 170 MW, a las 18:10 horas, coincidiendo con la hora pico . La disponibilidad del SEN a las 07:00 horas es de 2300 MW y la demanda 2060 MW, con todo el SEN con servicio. No se estima afectación por déficit de capacidad de generación durante el horario diurno. Se encuentran fuera de servicio por avería la unidad 1 de la CTE Santa Cruz, la unidad 3 de la CTE Rente y la unidad 2 de la CTE Felton. Se encuentran en mantenimiento la unidad 5 de la CTE Mariel, las 3 unidades de Energas Varadero y la unidad 1 de la CTE Felton. Se mantienen las limitaciones en la generación térmica (361 MW). En la generación distribuida, están indisponibles por avería 816 MW y en mantenimiento 123 MW. Se encuentran fuera de servicio por combustible 31 centrales con 168 MW. Hay 15 centrales con bajas coberturas (176 MW). Para el pico se estima la recuperación de 40 MW en centrales de generación distribuida que están fuera por combustible, la entrada de 6 motores en la Patana de Melones con 100 MW y la entrada de motores de Generación Distribuida que están a la espera de mantenimiento y se autoriza su uso con 123 MW. Con este pronóstico, se estima para la hora pico una disponibilidad de 2563 MW y una demanda máxima de 2820 MW, para un déficit de 257 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 327 MW en este horario.","Apagón, Cuba, Economía, Electricidad, Energía, Gobierno, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Termoeléctrica, Unión Eléctrica (UNE)",9,http://www.cubadebate.cu/noticias/2023/12/05/union-electrica-estima-afectacion-de-327-mw-en-el-pico-nocturno-de-este-martes/
UNE prevé jornada diurna sin afectaciones por déficit y afectación de 144 MW en el pico este lunes,2023-12-04 09:30:00,"Logo de la Unión Eléctrica. En el día de ayer fue afectado el servicio por déficit de capacidad de generación desde las 17:50 hasta las 18:36 horas (46 minutos). La máxima afectación fue de 92 MW a las 18:10, coincidiendo con la hora pico. Este lunes, la disponibilidad del SEN a las 07:00 horas era de 2 550 MW y la demanda, de 2 060 MW, con todo el SEN con servicio. No se estima afectación por déficit de capacidad de generación durante el horario diurno. Están fuera de servicio por avería la unidad 1 de la CTE Santa Cruz y la unidad 2 de la CTE Felton. En mantenimiento, la unidad 5 de la CTE Mariel y la unidad 1 de la CTE Felton. Se mantienen las limitaciones en la generación térmica (366 MW). En la generación distribuida, no están disponibles por avería 817 MW y en mantenimiento, 121 MW. Están fuera de servicio por combustible 27 centrales, con 161 MW. Hay 17 centrales con bajas coberturas (158 MW). Para el pico se espera la recuperación de 40 MW en centrales de generación distribuida que están fuera por combustible, la entrada de cinco motores en la patana de Melones con 85 MW y la entrada de motores de generación distribuida que están a la espera de mantenimiento y se autoriza su uso, con 131 MW. Con este pronóstico, se estima para la hora pico una disponibilidad de 2 806 MW y una demanda máxima de 2 880 MW, para un déficit de 74 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 144 MW en este horario.","Cuba, Economía, Electricidad, Energía, Gobierno, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Termoeléctrica, Unión Eléctrica (UNE)",2,http://www.cubadebate.cu/noticias/2023/12/04/une-preve-jornada-diurna-sin-afectaciones-por-deficit-y-afectacion-de-144-mw-en-el-pico-este-lunes/
UNE pronostica afectación de 175 MW durante el horario pico nocturno de este sábado,2023-12-02 08:01:00,"Foto: Archivo CD. En el dia de ayer se afectó el servicio por déficit de capacidad desde las 16:40 hasta las 19:59 (03:19) horas. La máxima afectación fue de 494 MW, a las 18:20 horas coincidiendo con la hora pico . La disponibilidad del Sistema Eléctrico Nacional a las 07:00 horas es de 2330 MW y la demanda 2020 MW, con todo el SEN con servicio. Se encuentran fuera de servicio por avería las unidades 1 y 3 de la CTE Santa Cruz, la unidad 3 de la CTE Rente (en proceso de arranque) y la unidad 2 de la CTE Felton. Se encuentran en mantenimiento la unidad 5 de la CTE Mariel y la unidad 1 de la CTE Felton. Para el pico se estima la recuperación de 100 MW en centrales de generación distribuida que están fuera por combustible, la entrada de 4 motores en la Patana de Melones con 60MW, la entrada de la unidad 3 de la CTE Santa Cruz con 65MW, la entrada de la unidad 3 de la CTE Renté con 60MW y la entrada de motores de Generación Distribuida que están a la espera de mantenimiento y se autoriza su uso con 130MW. Con este pronóstico, se estima para la hora pico una disponibilidad de 2745 MW y una demanda máxima de 2850 MW, para un déficit de 105 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 175 MW en este horario. (Con información de la Unión Eléctrica)","Apagón, Cuba, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Termoeléctrica, Unión Eléctrica (UNE)",+,http://www.cubadebate.cu/noticias/2023/12/02/une-pronostica-afectacion-de-175-mw-durante-el-horario-pico-nocturno-de-este-sabado/
